epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8586,1.84898,3.59974,2.11136,0.00471,0.75601,0.02112,0.00636,2.54367,3.26887,2.74659,0.00046826,0.00046826,0.00046826
2,26.8305,1.87336,3.34052,2.11636,0.37495,0.06622,0.02099,0.0055,2.61737,3.562,3.15386,0.000942723,0.000942723,0.000942723
3,37.1751,1.8608,3.27457,2.12001,0.35754,0.07798,0.01689,0.00568,2.39879,3.5634,2.67134,0.0014153,0.0014153,0.0014153
4,48.0665,1.79824,3.2211,2.08557,0.36727,0.06604,0.01754,0.00421,2.86261,10.7745,2.94344,0.00142051,0.00142051,0.00142051
5,58.6042,1.76228,3.16322,2.047,0.02667,0.07908,0.02141,0.00626,2.45384,3.55951,2.72412,0.00141768,0.00141768,0.00141768
6,69.2024,1.79342,3.15922,2.06655,0.02016,0.23349,0.0421,0.01352,2.29834,3.42657,2.69647,0.00141485,0.00141485,0.00141485
7,80.0517,1.75334,3.14335,2.04759,0.41731,0.01952,0.02552,0.00663,2.41942,3.43679,2.66553,0.00141202,0.00141202,0.00141202
8,90.8788,1.75086,3.13059,2.04996,0.00522,0.79468,0.02837,0.00839,2.33631,3.29899,2.66897,0.00140919,0.00140919,0.00140919
9,102.059,1.69776,3.09538,2.01296,0.05694,0.25783,0.04103,0.01169,2.38131,3.22776,2.6746,0.00140636,0.00140636,0.00140636
10,113.239,1.71294,3.11302,2.04159,0.0259,0.25783,0.03766,0.01285,2.28829,3.31817,2.6918,0.00140354,0.00140354,0.00140354
11,124.398,1.71679,3.11893,2.04096,0.02455,0.52098,0.03855,0.01068,2.20218,3.36812,2.49058,0.00140071,0.00140071,0.00140071
12,135.645,1.70538,3.1316,2.03234,0.03968,0.33509,0.05777,0.01974,2.23498,3.21638,2.5468,0.00139788,0.00139788,0.00139788
13,146.833,1.68082,3.08689,2.01229,0.38982,0.09967,0.0428,0.01418,2.22817,3.23604,2.54034,0.00139505,0.00139505,0.00139505
14,158.107,1.64274,3.09337,1.9886,0.00624,0.80162,0.03449,0.01285,2.17005,3.28044,2.50761,0.00139222,0.00139222,0.00139222
15,169.343,1.59569,3.05434,1.94208,0.04112,0.22547,0.03673,0.01064,2.1972,3.30693,2.54757,0.00138939,0.00138939,0.00138939
16,180.476,1.63048,3.05796,1.96148,0.03434,0.44061,0.05874,0.01438,2.19016,3.31314,2.48349,0.00138656,0.00138656,0.00138656
17,191.982,1.62164,3.0716,1.97286,0.02207,0.44755,0.054,0.02321,2.12433,3.32243,2.49178,0.00138373,0.00138373,0.00138373
18,203.411,1.61912,3.03934,1.96078,0.0072,0.76322,0.06212,0.02137,2.13231,3.21815,2.55886,0.0013809,0.0013809,0.0013809
19,214.829,1.63117,3.02218,1.96649,0.00686,0.79779,0.04039,0.01528,2.05151,3.25993,2.45692,0.00137807,0.00137807,0.00137807
20,226.119,1.6117,2.99872,1.96149,0.02189,0.37341,0.03915,0.01262,2.05449,3.32793,2.50024,0.00137524,0.00137524,0.00137524
21,237.338,1.59171,3.01401,1.95822,0.10049,0.10588,0.06785,0.02124,2.12459,3.22261,2.43168,0.00137241,0.00137241,0.00137241
22,248.792,1.63064,3.06734,1.98415,0.04539,0.39035,0.04666,0.01264,2.16461,3.23197,2.49797,0.00136958,0.00136958,0.00136958
23,260.316,1.59487,3.04536,1.96089,0.02126,0.5799,0.04892,0.01667,2.10335,3.25997,2.45604,0.00136675,0.00136675,0.00136675
24,271.816,1.54993,2.98788,1.93267,0.31028,0.18021,0.0811,0.02334,2.14177,3.20901,2.49572,0.00136392,0.00136392,0.00136392
25,283.306,1.55877,3.01283,1.95325,0.41584,0.05071,0.06198,0.0226,2.05955,3.1233,2.41496,0.00136109,0.00136109,0.00136109
26,294.842,1.57166,3.01629,1.93927,0.00878,0.84084,0.06643,0.0221,2.02927,3.29238,2.42619,0.00135826,0.00135826,0.00135826
27,306.368,1.56807,3.01823,1.95327,0.41389,0.09695,0.10164,0.03976,1.99487,3.17097,2.43065,0.00135544,0.00135544,0.00135544
28,317.807,1.58192,2.99752,1.9623,0.15606,0.08235,0.08032,0.03513,2.08,3.19847,2.45317,0.00135261,0.00135261,0.00135261
29,329.184,1.56299,3.00961,1.93604,0.01876,0.65585,0.09853,0.03245,2.07498,3.15723,2.4553,0.00134978,0.00134978,0.00134978
30,340.937,1.53182,2.97852,1.93222,0.11194,0.05089,0.07492,0.0317,2.30946,3.25705,2.57669,0.00134695,0.00134695,0.00134695
31,352.656,1.55638,3.02715,1.95836,0.1578,0.12902,0.07203,0.02636,2.04172,3.14837,2.39072,0.00134412,0.00134412,0.00134412
32,364.085,1.56508,2.9841,1.94408,0.31008,0.05744,0.10393,0.03848,2.10335,3.15446,2.41389,0.00134129,0.00134129,0.00134129
33,375.516,1.60828,3.02437,1.97427,0.14604,0.07834,0.07282,0.02794,2.07905,3.20999,2.44698,0.00133846,0.00133846,0.00133846
34,387.373,1.54534,2.992,1.93812,0.12882,0.12941,0.09612,0.035,2.06328,3.29998,2.41139,0.00133563,0.00133563,0.00133563
35,398.743,1.56197,2.99786,1.94037,0.0541,0.06114,0.05577,0.01946,2.05785,3.2365,2.41795,0.0013328,0.0013328,0.0013328
36,410.243,1.54434,2.97362,1.94794,0.16769,0.11934,0.0899,0.03566,1.9668,3.27895,2.37325,0.00132997,0.00132997,0.00132997
37,421.772,1.54731,2.96284,1.92186,0.14793,0.10579,0.08256,0.03163,2.0406,3.10926,2.3967,0.00132714,0.00132714,0.00132714
38,433.41,1.5315,2.97057,1.92831,0.2614,0.14109,0.13973,0.04571,2.03135,3.14572,2.44299,0.00132431,0.00132431,0.00132431
39,445.118,1.52037,2.94122,1.91509,0.16426,0.07825,0.09256,0.02891,2.04026,3.19652,2.3801,0.00132148,0.00132148,0.00132148
40,456.712,1.53299,2.96498,1.92969,0.43011,0.11893,0.12283,0.04701,2.05446,3.15191,2.43385,0.00131865,0.00131865,0.00131865
41,468.283,1.54714,2.98306,1.94313,0.17657,0.06804,0.1178,0.05377,1.95277,3.20379,2.35168,0.00131582,0.00131582,0.00131582
42,479.912,1.51452,2.93311,1.90428,0.17201,0.11794,0.09422,0.04456,2.11451,3.11439,2.39934,0.00131299,0.00131299,0.00131299
43,491.341,1.56801,2.98236,1.94562,0.79175,0.09446,0.14106,0.05364,2.05579,3.21253,2.39554,0.00131016,0.00131016,0.00131016
44,503.016,1.56177,2.98115,1.9238,0.37582,0.10971,0.12816,0.05124,2.05244,3.05788,2.34374,0.00130733,0.00130733,0.00130733
45,514.555,1.50144,2.91852,1.89898,0.33496,0.13333,0.16152,0.06632,2.09096,3.17504,2.42642,0.00130451,0.00130451,0.00130451
46,526.413,1.52257,2.92599,1.91969,0.13943,0.12941,0.10872,0.03734,2.08758,3.31405,2.41116,0.00130168,0.00130168,0.00130168
47,538.113,1.52641,2.92678,1.91613,0.16967,0.09403,0.09006,0.03133,2.11776,3.30882,2.43958,0.00129885,0.00129885,0.00129885
48,549.573,1.54493,2.96782,1.92383,0.13634,0.09804,0.13719,0.05173,2.06026,3.23949,2.3773,0.00129602,0.00129602,0.00129602
49,561.208,1.52953,2.97224,1.91672,0.12281,0.07843,0.07232,0.01961,2.15215,3.32254,2.47838,0.00129319,0.00129319,0.00129319
50,572.678,1.53244,2.95671,1.93753,0.47563,0.11765,0.11155,0.0376,2.01595,3.18233,2.42388,0.00129036,0.00129036,0.00129036
51,584.354,1.54208,2.9122,1.93149,0.51454,0.12157,0.11535,0.03857,2.05093,3.20702,2.44176,0.00128753,0.00128753,0.00128753
52,596.064,1.53152,2.92714,1.91892,0.1578,0.14118,0.12796,0.04543,1.94444,3.15794,2.33598,0.0012847,0.0012847,0.0012847
53,607.842,1.54395,2.90783,1.93708,0.20925,0.1451,0.14064,0.05607,1.99992,3.0913,2.38185,0.00128187,0.00128187,0.00128187
54,619.539,1.50393,2.89083,1.89932,0.19371,0.22326,0.14826,0.05367,1.98181,3.14983,2.35674,0.00127904,0.00127904,0.00127904
55,631.035,1.52651,2.90041,1.92245,0.18654,0.1451,0.11306,0.04977,1.98963,3.15443,2.38577,0.00127621,0.00127621,0.00127621
56,642.573,1.52333,2.91365,1.91918,0.18803,0.24692,0.13955,0.06378,1.98086,3.19075,2.36747,0.00127338,0.00127338,0.00127338
57,654.148,1.47306,2.89203,1.887,0.15278,0.18797,0.13404,0.05145,1.9655,3.07969,2.35227,0.00127055,0.00127055,0.00127055
58,665.745,1.50407,2.87193,1.9082,0.61081,0.12157,0.13771,0.05534,2.00286,3.14908,2.48019,0.00126772,0.00126772,0.00126772
59,677.288,1.51902,2.86659,1.9186,0.75218,0.10196,0.1498,0.07137,1.98186,3.09424,2.4047,0.00126489,0.00126489,0.00126489
60,688.695,1.511,2.88602,1.90446,0.18604,0.2073,0.16573,0.06602,1.97818,3.12975,2.38415,0.00126206,0.00126206,0.00126206
61,700.161,1.50005,2.88305,1.89908,0.70283,0.11373,0.16912,0.07347,1.96441,3.15777,2.43799,0.00125923,0.00125923,0.00125923
62,711.838,1.4936,2.85074,1.89501,0.26263,0.12414,0.11922,0.05235,2.0375,3.16007,2.41345,0.00125641,0.00125641,0.00125641
63,723.358,1.48409,2.84369,1.88694,0.24716,0.1606,0.13535,0.05546,2.04287,3.06317,2.48753,0.00125358,0.00125358,0.00125358
64,735.239,1.4907,2.83099,1.89667,0.22064,0.17246,0.14298,0.05356,2.01999,3.12153,2.43759,0.00125075,0.00125075,0.00125075
65,746.928,1.49765,2.84864,1.90005,0.15465,0.18769,0.16683,0.06247,1.97363,3.07636,2.40369,0.00124792,0.00124792,0.00124792
66,758.867,1.46984,2.82129,1.87958,0.12414,0.23529,0.15908,0.05665,2.07474,3.10594,2.3778,0.00124509,0.00124509,0.00124509
67,770.482,1.4834,2.82047,1.88746,0.24027,0.17638,0.13451,0.05106,2.00622,3.13837,2.36116,0.00124226,0.00124226,0.00124226
68,782.414,1.47118,2.8119,1.8819,0.47339,0.20626,0.162,0.07932,2.01436,3.09572,2.436,0.00123943,0.00123943,0.00123943
69,793.919,1.4761,2.81572,1.87668,0.23096,0.19982,0.16915,0.07876,2.01007,3.09592,2.36178,0.0012366,0.0012366,0.0012366
70,805.715,1.47408,2.815,1.89077,0.43625,0.18422,0.16438,0.07196,2.01475,3.11766,2.4109,0.00123377,0.00123377,0.00123377
71,817.51,1.48604,2.86383,1.90302,0.23745,0.17287,0.18092,0.07303,1.9465,2.9991,2.30336,0.00123094,0.00123094,0.00123094
72,829.192,1.47795,2.82211,1.88631,0.17863,0.16033,0.13284,0.05488,2.01797,3.10285,2.40936,0.00122811,0.00122811,0.00122811
73,840.979,1.47463,2.82017,1.88264,0.21586,0.25468,0.16711,0.06866,2.09399,3.17213,2.38188,0.00122528,0.00122528,0.00122528
74,852.623,1.48377,2.82516,1.88881,0.1752,0.16435,0.14149,0.05734,2.00207,3.20159,2.38853,0.00122245,0.00122245,0.00122245
75,864.303,1.47254,2.80685,1.8753,0.38536,0.16471,0.19826,0.0792,2.04711,3.07608,2.40083,0.00121962,0.00121962,0.00121962
76,876.198,1.47341,2.80254,1.87966,0.74819,0.14299,0.16546,0.05244,2.03034,3.01455,2.34065,0.00121679,0.00121679,0.00121679
77,888.224,1.48861,2.82699,1.89806,0.64385,0.15851,0.17873,0.06985,2.02964,3.1137,2.37784,0.00121396,0.00121396,0.00121396
78,900.06,1.47748,2.7838,1.89059,0.58645,0.17647,0.19161,0.08074,2.00118,3.0048,2.377,0.00121113,0.00121113,0.00121113
79,911.838,1.46887,2.77087,1.87804,0.2561,0.1755,0.20026,0.08413,2.0075,2.98707,2.43899,0.00120831,0.00120831,0.00120831
80,923.49,1.49425,2.76877,1.90292,0.16468,0.21757,0.16519,0.06674,1.95937,3.11898,2.41585,0.00120548,0.00120548,0.00120548
81,935.264,1.47806,2.79299,1.88577,0.20944,0.23128,0.19325,0.08628,1.94995,3.04921,2.3189,0.00120265,0.00120265,0.00120265
