epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2086,1.92431,3.6718,2.15407,0.00405,0.73275,0.01474,0.00468,2.27574,3.34339,2.57737,0.00328205,0.00328205,0.00328205
2,28.9059,1.77613,3.54082,2.0574,0.00447,0.76367,0.02516,0.00885,2.23903,3.36264,2.61016,0.00660884,0.00660884,0.00660884
3,40.6706,1.82138,3.3808,2.08746,0.35128,0.12441,0.01937,0.00549,2.4369,4.23789,2.89826,0.00992902,0.00992902,0.00992902
4,52.4169,1.83401,3.31612,2.10468,0.3628,0.03529,0.01862,0.00565,2.35631,5.18844,2.71362,0.0099703,0.0099703,0.0099703
5,64.0327,1.86261,3.30085,2.11812,0.00438,0.76403,0.02749,0.00891,2.42545,3.31224,2.76236,0.0099604,0.0099604,0.0099604
6,75.5028,1.80459,3.19972,2.07914,0.39497,0.05942,0.03518,0.01265,2.43434,3.41072,2.84663,0.0099505,0.0099505,0.0099505
7,87.6434,1.78809,3.20417,2.08699,0.39312,0.08208,0.04932,0.01765,2.23126,3.18569,2.62916,0.0099406,0.0099406,0.0099406
8,99.9681,1.79124,3.1654,2.07247,0.06796,0.06987,0.03872,0.0132,2.19331,3.30204,2.53326,0.0099307,0.0099307,0.0099307
9,111.808,1.77194,3.17423,2.0676,0.363,0.07451,0.03723,0.01187,2.23672,3.4506,2.51773,0.0099208,0.0099208,0.0099208
10,123.693,1.7781,3.17628,2.09501,0.42922,0.05801,0.05267,0.01781,2.07485,3.23989,2.49009,0.0099109,0.0099109,0.0099109
11,135.427,1.73574,3.11316,2.03551,0.0607,0.25337,0.05996,0.01623,2.17959,3.34276,2.47152,0.009901,0.009901,0.009901
12,147.569,1.77272,3.13281,2.05178,0.02022,0.55163,0.04225,0.01458,2.23977,3.55611,2.58217,0.0098911,0.0098911,0.0098911
13,159.602,1.72591,3.10686,2.0395,0.05476,0.21149,0.04239,0.01401,2.12854,3.29409,2.49665,0.0098812,0.0098812,0.0098812
14,171.769,1.67983,3.08719,2.00518,0.84083,0.03922,0.0785,0.02237,2.13476,3.23922,2.53064,0.0098713,0.0098713,0.0098713
15,183.681,1.68559,3.10297,2.03211,0.01708,0.53356,0.04686,0.01627,2.11711,3.25787,2.48732,0.0098614,0.0098614,0.0098614
16,195.707,1.70128,3.07535,2.02935,0.12659,0.05864,0.05214,0.02147,2.10722,3.31893,2.42396,0.0098515,0.0098515,0.0098515
17,207.671,1.68754,3.08981,2.03159,0.38995,0.1098,0.04087,0.01381,2.10869,3.33819,2.54732,0.0098416,0.0098416,0.0098416
18,219.491,1.68244,3.10176,2.03729,0.03947,0.37877,0.04251,0.0154,2.06594,3.26557,2.48241,0.0098317,0.0098317,0.0098317
19,231.459,1.67396,3.07512,2.01898,0.26213,0.06247,0.06596,0.03178,2.06304,3.31685,2.44375,0.0098218,0.0098218,0.0098218
20,243.292,1.61765,3.06496,1.97433,0.07137,0.31183,0.05637,0.01986,2.04603,3.24797,2.48178,0.0098119,0.0098119,0.0098119
21,255.286,1.6361,3.11244,2.0105,0.13737,0.14474,0.06501,0.02445,1.9785,3.32522,2.39376,0.009802,0.009802,0.009802
22,267.232,1.63799,3.08618,2.00724,0.03872,0.37584,0.04659,0.0177,2.03636,3.34262,2.42382,0.0097921,0.0097921,0.0097921
23,279.305,1.65785,3.09287,2.01734,0.44418,0.06492,0.06451,0.02289,1.96365,3.20059,2.36958,0.0097822,0.0097822,0.0097822
24,291.251,1.62811,3.0467,1.98462,0.2844,0.07315,0.08297,0.03511,2.06781,3.25808,2.52446,0.0097723,0.0097723,0.0097723
25,303.185,1.61721,3.04813,1.97968,0.07592,0.08618,0.04181,0.01709,2.01589,3.34328,2.47871,0.0097624,0.0097624,0.0097624
26,315.352,1.62638,3.05572,1.99237,0.30247,0.09403,0.08475,0.02677,1.98999,3.25996,2.42327,0.0097525,0.0097525,0.0097525
27,327.371,1.63397,3.07157,1.99159,0.16726,0.06884,0.08277,0.03692,2.06199,3.23324,2.39502,0.0097426,0.0097426,0.0097426
28,339.335,1.61046,3.02776,1.97397,0.45306,0.05806,0.06165,0.02157,1.98487,3.37578,2.4413,0.0097327,0.0097327,0.0097327
29,351.436,1.59683,3.03486,1.96085,0.16046,0.06631,0.07357,0.02927,2.06696,3.32299,2.48328,0.0097228,0.0097228,0.0097228
30,363.538,1.62685,3.0499,1.98278,0.22943,0.07023,0.07914,0.03161,1.96787,3.2353,2.36106,0.0097129,0.0097129,0.0097129
31,376.29,1.60832,3.03139,1.97315,0.31478,0.06915,0.07928,0.03195,1.94832,3.22708,2.35198,0.009703,0.009703,0.009703
32,389.365,1.6248,3.0295,1.99054,0.25274,0.05481,0.07711,0.03414,1.94423,3.26884,2.40903,0.0096931,0.0096931,0.0096931
33,402.406,1.61288,3.0309,1.97464,0.24719,0.10971,0.08463,0.03355,1.94571,3.33288,2.42853,0.0096832,0.0096832,0.0096832
34,415.444,1.60338,3.03505,1.98234,0.16223,0.08582,0.08808,0.03743,1.97692,3.33376,2.43953,0.0096733,0.0096733,0.0096733
35,429.076,1.59447,3.04632,1.97805,0.21304,0.07397,0.08211,0.03446,1.93738,3.29209,2.3764,0.0096634,0.0096634,0.0096634
36,441.554,1.58426,3.00773,1.97243,0.31042,0.10092,0.11118,0.05272,2.01298,3.19775,2.47638,0.0096535,0.0096535,0.0096535
37,454.031,1.60716,3.00289,1.9816,0.24769,0.09768,0.11975,0.05506,2.06036,3.12351,2.46952,0.0096436,0.0096436,0.0096436
38,466.33,1.60262,2.99828,1.98069,0.28173,0.0802,0.10718,0.04594,1.91868,3.18697,2.31961,0.0096337,0.0096337,0.0096337
39,478.892,1.56446,2.97123,1.95996,0.21218,0.12887,0.13045,0.05333,1.9029,3.14987,2.28694,0.0096238,0.0096238,0.0096238
40,491.359,1.60703,2.9861,1.97785,0.4359,0.05882,0.09772,0.05239,1.96112,3.21268,2.32704,0.0096139,0.0096139,0.0096139
41,503.947,1.5753,2.9838,1.95468,0.91254,0.07843,0.17583,0.08137,1.98628,3.21286,2.38401,0.009604,0.009604,0.009604
42,516.609,1.53786,2.98655,1.93839,0.43576,0.16051,0.15256,0.06643,1.9436,3.12716,2.36843,0.0095941,0.0095941,0.0095941
43,529.076,1.58783,2.99557,1.9605,0.94289,0.0953,0.16653,0.06471,2.03155,3.26356,2.46932,0.0095842,0.0095842,0.0095842
44,541.389,1.56589,2.95389,1.94899,0.24803,0.17622,0.12699,0.05359,1.96612,3.14513,2.43447,0.0095743,0.0095743,0.0095743
45,554.025,1.55231,2.93296,1.93219,0.33411,0.20703,0.17301,0.08263,1.86068,3.10809,2.2965,0.0095644,0.0095644,0.0095644
46,566.775,1.56798,2.9294,1.94687,0.29057,0.2073,0.18097,0.08264,2.00437,3.09694,2.34623,0.0095545,0.0095545,0.0095545
