epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8128,1.69571,3.54296,1.98656,0.00421,0.76403,0.02247,0.00592,2.55383,3.32148,2.78218,0.00046826,0.00046826,0.00046826
2,24.9957,1.73162,3.22379,2.02804,0.01796,0.15123,0.01518,0.00477,2.49105,3.43321,2.77219,0.000942723,0.000942723,0.000942723
3,35.0816,1.71768,3.1269,2.02737,0.04502,0.19995,0.04254,0.0135,2.36399,4.43328,2.80444,0.0014153,0.0014153,0.0014153
4,44.8248,1.68776,3.07266,2.01344,0.00476,0.45878,0.0083,0.00223,3.0595,3.71756,3.50294,0.00142051,0.00142051,0.00142051
5,54.6717,1.66307,2.98659,1.99884,0.35123,0.04598,0.02186,0.00609,2.43071,4.27224,2.87857,0.00141768,0.00141768,0.00141768
6,64.5714,1.66761,2.96824,1.98816,0.35375,0.10178,0.0169,0.00489,2.51521,3.87338,2.75921,0.00141485,0.00141485,0.00141485
7,74.5573,1.63823,2.89453,1.97848,0.08001,0.1162,0.0618,0.01722,2.23487,3.23353,2.55845,0.00141202,0.00141202,0.00141202
8,84.5611,1.63235,2.86845,1.95949,0.07314,0.29524,0.05153,0.01715,2.17651,3.1193,2.49175,0.00140919,0.00140919,0.00140919
9,94.9751,1.5903,2.83926,1.94484,0.08653,0.17165,0.06348,0.01962,2.16348,3.08087,2.43112,0.00140636,0.00140636,0.00140636
10,105.292,1.59783,2.85535,1.95267,0.45077,0.10745,0.07546,0.02949,2.09329,3.26518,2.52894,0.00140354,0.00140354,0.00140354
