epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0589,1.75969,3.54278,2.02997,0.00453,0.83975,0.0354,0.01215,2.09846,3.29712,2.48985,0.000467173,0.000467173,0.000467173
2,25.5521,1.72633,3.24833,2.07167,0.38898,0.04477,0.03179,0.00995,2.07657,3.3892,2.6648,0.000941638,0.000941638,0.000941638
3,35.6729,1.69155,3.15883,2.02493,0.35287,0.09406,0.01526,0.00394,2.71769,4.51434,3.39093,0.00141422,0.00141422,0.00141422
4,46.1443,1.70163,3.1381,2.05204,0.38297,0.06671,0.03445,0.01052,2.14402,3.1259,2.58738,0.00142051,0.00142051,0.00142051
5,56.5005,1.67191,3.00807,2.00183,0.36931,0.06842,0.03122,0.00941,2.41115,3.41625,2.78293,0.00141768,0.00141768,0.00141768
6,66.9238,1.61301,2.95602,1.98831,0.02563,0.07229,0.02613,0.00723,2.59558,4.15604,2.79605,0.00141485,0.00141485,0.00141485
7,77.1912,1.61967,2.96423,1.98981,0.07519,0.18299,0.04692,0.01474,2.00353,3.23984,2.4945,0.00141202,0.00141202,0.00141202
8,87.5083,1.62165,2.89129,1.96491,0.22596,0.12788,0.07055,0.02288,2.06355,3.06693,2.37033,0.00140919,0.00140919,0.00140919
9,98.2241,1.62232,2.8747,1.9491,0.08597,0.12363,0.0468,0.01524,2.10228,3.30574,2.4323,0.00140636,0.00140636,0.00140636
10,108.691,1.60926,2.86154,1.9532,0.23979,0.15914,0.08335,0.02592,2.12847,2.96865,2.36676,0.00140354,0.00140354,0.00140354
11,119.096,1.57125,2.8138,1.93758,0.42824,0.16977,0.10923,0.03825,1.84759,2.97041,2.22964,0.00140071,0.00140071,0.00140071
12,129.542,1.54939,2.83313,1.92906,0.13785,0.10747,0.06495,0.02436,1.90659,2.99327,2.28525,0.00139788,0.00139788,0.00139788
13,140.083,1.5619,2.7989,1.93126,0.08702,0.16126,0.07176,0.02599,1.95068,3.14029,2.33243,0.00139505,0.00139505,0.00139505
14,150.734,1.56499,2.76949,1.91793,0.12576,0.14646,0.12312,0.03786,1.9549,2.97588,2.33401,0.00139222,0.00139222,0.00139222
15,161.548,1.53657,2.73837,1.89496,0.19287,0.21515,0.12478,0.04479,1.96481,2.85801,2.29505,0.00138939,0.00138939,0.00138939
16,172.342,1.54577,2.77462,1.92462,0.1411,0.19135,0.07568,0.02851,1.9723,3.01135,2.35168,0.00138656,0.00138656,0.00138656
17,183.258,1.5367,2.73415,1.92623,0.17136,0.13999,0.09832,0.03703,1.89619,2.91486,2.32889,0.00138373,0.00138373,0.00138373
18,194.033,1.50586,2.68753,1.89989,0.21466,0.20197,0.13755,0.0512,1.81698,2.92924,2.1963,0.0013809,0.0013809,0.0013809
19,204.94,1.51221,2.66666,1.89106,0.15885,0.20524,0.12097,0.04885,1.88212,3.03094,2.25409,0.00137807,0.00137807,0.00137807
20,215.821,1.51598,2.68167,1.89071,0.16886,0.18051,0.10208,0.04808,1.8301,3.09412,2.37741,0.00137524,0.00137524,0.00137524
21,226.686,1.49965,2.71028,1.88749,0.17907,0.21757,0.10853,0.03745,1.91401,3.04345,2.34658,0.00137241,0.00137241,0.00137241
22,237.772,1.47463,2.66805,1.88022,0.20299,0.22964,0.11854,0.04956,1.8685,3.08672,2.24978,0.00136958,0.00136958,0.00136958
23,248.399,1.49327,2.62277,1.88239,0.32208,0.24665,0.17216,0.05767,1.8332,2.85791,2.2098,0.00136675,0.00136675,0.00136675
24,259.286,1.51111,2.63768,1.88766,0.18945,0.18774,0.13219,0.05401,1.89596,2.98606,2.20664,0.00136392,0.00136392,0.00136392
25,270.055,1.49921,2.60275,1.88693,0.26204,0.26595,0.20145,0.09437,1.93823,2.76154,2.27188,0.00136109,0.00136109,0.00136109
26,280.879,1.5016,2.60306,1.88387,0.24979,0.24567,0.18306,0.08836,1.8673,2.90913,2.24831,0.00135826,0.00135826,0.00135826
27,291.935,1.51123,2.59994,1.8887,0.20973,0.30225,0.20421,0.09597,1.90979,2.72841,2.2189,0.00135544,0.00135544,0.00135544
28,302.816,1.45266,2.5444,1.85234,0.21834,0.15885,0.08626,0.0384,2.08315,3.46615,2.56883,0.00135261,0.00135261,0.00135261
29,313.748,1.48361,2.58342,1.89594,0.20876,0.31019,0.20974,0.09904,1.82997,2.7012,2.19736,0.00134978,0.00134978,0.00134978
30,324.57,1.48531,2.54279,1.87157,0.27383,0.26484,0.18571,0.08243,1.88186,2.86606,2.30865,0.00134695,0.00134695,0.00134695
31,335.344,1.4693,2.51031,1.84828,0.22519,0.31372,0.20348,0.08627,1.97692,2.68461,2.26515,0.00134412,0.00134412,0.00134412
32,346.249,1.48872,2.51341,1.86129,0.32754,0.27453,0.25978,0.11854,1.83681,2.59328,2.18936,0.00134129,0.00134129,0.00134129
33,357.194,1.46174,2.50401,1.84693,0.23747,0.28927,0.19909,0.08169,1.84641,2.77266,2.2234,0.00133846,0.00133846,0.00133846
34,368.157,1.41923,2.46009,1.81992,0.22619,0.32415,0.24053,0.11049,1.78274,2.67448,2.19172,0.00133563,0.00133563,0.00133563
35,379.19,1.45454,2.45132,1.84499,0.29197,0.30128,0.22942,0.10945,1.87966,2.81313,2.24178,0.0013328,0.0013328,0.0013328
36,390.043,1.45436,2.45077,1.85134,0.34425,0.24745,0.21441,0.09882,1.88652,2.706,2.25112,0.00132997,0.00132997,0.00132997
37,400.981,1.46027,2.42071,1.83934,0.21684,0.17577,0.13988,0.05453,1.84571,2.96528,2.22077,0.00132714,0.00132714,0.00132714
38,412.032,1.42511,2.41778,1.8251,0.33253,0.36011,0.28573,0.13188,1.73636,2.59362,2.14801,0.00132431,0.00132431,0.00132431
39,422.963,1.40662,2.41008,1.80505,0.34558,0.32721,0.27722,0.12303,1.76894,2.69524,2.15181,0.00132148,0.00132148,0.00132148
40,433.989,1.44249,2.45104,1.83216,0.33148,0.31109,0.276,0.12522,1.74772,2.65576,2.13842,0.00131865,0.00131865,0.00131865
