epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0895,1.80043,3.62839,2.03496,0.00408,0.76566,0.01432,0.00407,2.29208,3.36048,2.54693,0.00327684,0.00327684,0.00327684
2,27.5556,1.65036,3.53898,1.93339,0.00458,0.82868,0.0357,0.00944,2.33616,3.3473,2.59407,0.0066069,0.0066069,0.0066069
3,38.481,1.74504,3.35469,2.03314,0.01741,0.01832,0.0086,0.00231,3.15441,3.57827,3.16047,0.00993366,0.00993366,0.00993366
4,49.6762,1.77569,3.25778,2.07064,0.379,0.17569,0.03118,0.00916,2.35967,7.26116,2.76263,0.00998515,0.00998515,0.00998515
5,60.8297,1.73544,3.1825,2.03816,0.37854,0.10214,0.0341,0.01131,2.17452,3.45014,2.58656,0.0099802,0.0099802,0.0099802
6,71.8935,1.71575,3.07263,2.01357,0.35562,0.04507,0.01063,0.00352,2.94088,3.98221,3.21678,0.00997525,0.00997525,0.00997525
7,82.8939,1.69506,3.11606,1.99524,0.36593,0.12301,0.03659,0.01062,2.29647,3.49592,2.72795,0.0099703,0.0099703,0.0099703
8,94.2079,1.69083,3.06382,2.00933,0.0864,0.16189,0.03697,0.01242,2.09312,3.61637,2.40641,0.00996535,0.00996535,0.00996535
9,105.483,1.67748,2.99854,1.99336,0.18773,0.08048,0.05432,0.01623,2.26025,3.1544,2.56171,0.0099604,0.0099604,0.0099604
10,116.929,1.65035,3.02162,2.00492,0.13874,0.14558,0.06681,0.0218,1.98186,3.22575,2.42229,0.00995545,0.00995545,0.00995545
11,128.31,1.6449,3.00585,2.00267,0.05661,0.1684,0.06063,0.01776,1.99624,3.24169,2.34265,0.0099505,0.0099505,0.0099505
12,139.843,1.64738,2.99087,1.97974,0.04646,0.15773,0.03915,0.01341,2.00326,3.70714,2.32601,0.00994555,0.00994555,0.00994555
13,151.383,1.62781,2.92977,1.9663,0.07091,0.16082,0.07363,0.02229,2.02338,3.25214,2.38612,0.0099406,0.0099406,0.0099406
14,162.836,1.63152,2.88687,1.97646,0.12062,0.19356,0.08319,0.02897,1.92434,2.91817,2.29123,0.00993565,0.00993565,0.00993565
15,174.469,1.6134,2.92731,1.96965,0.21122,0.16556,0.11462,0.0449,1.94384,2.96598,2.32423,0.0099307,0.0099307,0.0099307
16,185.945,1.56015,2.85765,1.95239,0.12627,0.17568,0.07724,0.02785,1.91957,3.0785,2.31893,0.00992575,0.00992575,0.00992575
17,197.395,1.55804,2.813,1.9343,0.40688,0.198,0.06993,0.02388,1.99441,3.27534,2.40099,0.0099208,0.0099208,0.0099208
18,208.947,1.58369,2.85148,1.95071,0.15921,0.19333,0.09363,0.03253,1.96518,2.98258,2.26199,0.00991585,0.00991585,0.00991585
19,220.621,1.57865,2.82598,1.92954,0.23763,0.11662,0.11536,0.04539,1.84878,2.91588,2.3294,0.0099109,0.0099109,0.0099109
20,232.332,1.57321,2.82834,1.96183,0.14345,0.19332,0.09702,0.03456,1.88863,2.93315,2.30906,0.00990595,0.00990595,0.00990595
21,244.004,1.54338,2.7556,1.93261,0.22795,0.21934,0.12537,0.04169,1.87533,2.88778,2.29272,0.009901,0.009901,0.009901
22,255.698,1.59169,2.78805,1.95073,0.17121,0.19394,0.11818,0.04209,1.91076,2.83865,2.34195,0.00989605,0.00989605,0.00989605
23,267.444,1.55354,2.73207,1.9237,0.22744,0.17244,0.15035,0.05296,1.84093,2.84391,2.2886,0.0098911,0.0098911,0.0098911
24,279.219,1.54976,2.74679,1.94066,0.15958,0.25546,0.12609,0.04773,1.84089,2.98617,2.29593,0.00988615,0.00988615,0.00988615
25,290.961,1.5308,2.69968,1.91571,0.25171,0.26771,0.19031,0.07,1.7935,2.79093,2.23125,0.0098812,0.0098812,0.0098812
26,302.712,1.51083,2.68338,1.902,0.22672,0.31861,0.17719,0.07816,1.798,2.7367,2.2,0.00987625,0.00987625,0.00987625
27,314.361,1.54795,2.66818,1.91089,0.17788,0.256,0.15464,0.06318,1.76993,2.70338,2.17385,0.0098713,0.0098713,0.0098713
28,326,1.54029,2.66599,1.89299,0.23605,0.31445,0.15258,0.05934,1.81656,2.69947,2.19446,0.00986635,0.00986635,0.00986635
29,337.672,1.53545,2.68689,1.90802,0.22794,0.28036,0.16398,0.06424,1.8009,2.66315,2.21164,0.0098614,0.0098614,0.0098614
30,349.247,1.52202,2.6683,1.92503,0.34233,0.26047,0.25251,0.12231,1.81351,2.73467,2.22243,0.00985645,0.00985645,0.00985645
31,360.881,1.5318,2.66936,1.9089,0.25315,0.25959,0.19572,0.0848,1.89489,2.82176,2.25572,0.0098515,0.0098515,0.0098515
32,372.695,1.53424,2.62059,1.88717,0.22923,0.27484,0.18263,0.06977,1.9728,2.79654,2.3209,0.00984655,0.00984655,0.00984655
33,384.397,1.53991,2.60388,1.89637,0.28854,0.29929,0.21848,0.09136,1.78737,2.68485,2.18397,0.0098416,0.0098416,0.0098416
34,396.126,1.52964,2.59209,1.90088,0.3293,0.25165,0.2157,0.10303,1.8073,3.02643,2.18629,0.00983665,0.00983665,0.00983665
35,408.087,1.49146,2.65586,1.88078,0.21832,0.31149,0.22204,0.10438,1.82649,2.7614,2.18147,0.0098317,0.0098317,0.0098317
36,419.954,1.49802,2.57223,1.87515,0.27021,0.31517,0.25246,0.11401,1.7585,2.52415,2.12181,0.00982675,0.00982675,0.00982675
37,431.683,1.48624,2.58125,1.86015,0.34629,0.28343,0.24757,0.11284,1.86676,2.61757,2.24787,0.0098218,0.0098218,0.0098218
38,443.483,1.49043,2.52758,1.85973,0.26058,0.19557,0.18215,0.08194,1.87371,2.7882,2.23002,0.00981685,0.00981685,0.00981685
39,455.38,1.49346,2.53018,1.8742,0.29323,0.35202,0.26668,0.12383,1.77585,2.4979,2.16091,0.0098119,0.0098119,0.0098119
40,467.303,1.48135,2.61119,1.84146,0.33659,0.33085,0.28976,0.12898,1.74049,2.46826,2.12082,0.00980695,0.00980695,0.00980695
41,479.001,1.54697,2.52807,1.93015,0.39443,0.38166,0.32349,0.15658,1.74492,2.43704,2.13778,0.009802,0.009802,0.009802
42,490.727,1.48176,2.48647,1.84552,0.35357,0.37392,0.35418,0.16702,1.71203,2.48569,2.06852,0.00979705,0.00979705,0.00979705
43,502.571,1.47363,2.49767,1.84908,0.35975,0.33409,0.30652,0.14185,1.72083,2.50178,2.08376,0.0097921,0.0097921,0.0097921
44,514.45,1.43516,2.5178,1.7973,0.3781,0.33808,0.30846,0.14296,1.75028,2.5188,2.11165,0.00978715,0.00978715,0.00978715
45,526.519,1.46117,2.47184,1.83818,0.39032,0.3369,0.32022,0.15284,1.75621,2.47136,2.14588,0.0097822,0.0097822,0.0097822
46,538.357,1.47839,2.49004,1.85915,0.36963,0.40395,0.33891,0.16687,1.74476,2.41503,2.09474,0.00977725,0.00977725,0.00977725
47,550.076,1.4429,2.52482,1.79231,0.34645,0.34866,0.29661,0.14011,1.74153,2.42959,2.10006,0.0097723,0.0097723,0.0097723
48,562.143,1.49719,2.44479,1.84935,0.35242,0.38755,0.29958,0.14045,1.77096,2.48507,2.11468,0.00976735,0.00976735,0.00976735
49,573.879,1.45749,2.44925,1.82242,0.345,0.40509,0.38172,0.18529,1.67786,2.41326,2.09642,0.0097624,0.0097624,0.0097624
50,585.818,1.4505,2.36848,1.81502,0.45972,0.35165,0.39485,0.17878,1.77735,2.28352,2.12432,0.00975745,0.00975745,0.00975745
51,597.632,1.45224,2.36986,1.82552,0.35663,0.42381,0.34174,0.16756,1.72907,2.33043,2.09568,0.0097525,0.0097525,0.0097525
52,609.498,1.44653,2.38609,1.80123,0.35843,0.39732,0.3428,0.17289,1.73626,2.44193,2.14473,0.00974755,0.00974755,0.00974755
53,621.469,1.45288,2.36348,1.81132,0.38252,0.50034,0.38192,0.19018,1.75746,2.26018,2.1068,0.0097426,0.0097426,0.0097426
54,633.392,1.4307,2.34544,1.81622,0.43356,0.3845,0.36635,0.1843,1.64947,2.40748,2.05589,0.00973765,0.00973765,0.00973765
55,645.354,1.4541,2.40898,1.86131,0.35834,0.39658,0.39497,0.21003,1.68585,2.34113,2.08624,0.0097327,0.0097327,0.0097327
56,657.36,1.42921,2.33062,1.79825,0.35357,0.4034,0.33482,0.16047,1.69935,2.26797,2.05109,0.00972775,0.00972775,0.00972775
57,669.139,1.43483,2.32844,1.8054,0.37716,0.37842,0.3774,0.19434,1.70383,2.38334,2.06264,0.0097228,0.0097228,0.0097228
58,680.996,1.42266,2.28124,1.78739,0.42124,0.39185,0.38977,0.19963,1.62065,2.31327,2.04365,0.00971785,0.00971785,0.00971785
59,692.857,1.41496,2.36285,1.76217,0.52714,0.38672,0.43069,0.20796,1.68528,2.23907,2.02807,0.0097129,0.0097129,0.0097129
60,704.729,1.42668,2.27162,1.78543,0.4693,0.43544,0.44133,0.23892,1.69979,2.19729,2.05516,0.00970795,0.00970795,0.00970795
