epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9994,1.80043,3.62839,2.03496,0.00408,0.76566,0.01432,0.00407,2.29208,3.36048,2.54693,0.00327684,0.00327684,0.00327684
2,27.1861,1.66326,3.58636,1.95334,0.00465,0.84186,0.02888,0.00919,2.27111,3.27713,2.45216,0.00660199,0.00660199,0.00660199
3,38.2443,1.76096,3.3648,2.0358,0.35849,0.0941,0.01968,0.00536,2.30887,4.64837,2.5872,0.00991889,0.00991889,0.00991889
4,49.504,1.78722,3.25208,2.06388,0.34988,0.15958,0.01566,0.00453,2.5793,7.75558,2.86981,0.00996287,0.00996287,0.00996287
5,60.871,1.73978,3.1751,2.03833,0.36717,0.10335,0.02429,0.00715,2.18315,4.46772,2.56395,0.0099505,0.0099505,0.0099505
6,71.8738,1.70543,3.1121,2.02411,0.39483,0.1181,0.04961,0.01342,2.0732,3.57117,2.52454,0.00993813,0.00993813,0.00993813
7,82.7215,1.69857,3.10597,2.00478,0.38009,0.15571,0.04262,0.01284,2.22008,3.25483,2.59727,0.00992575,0.00992575,0.00992575
8,93.7488,1.67606,3.07144,2.01104,0.38644,0.10727,0.04779,0.01453,2.13689,3.51575,2.5238,0.00991338,0.00991338,0.00991338
9,104.824,1.6392,2.97847,1.98618,0.05819,0.19019,0.06571,0.02165,2.11078,3.21799,2.48727,0.009901,0.009901,0.009901
10,116.157,1.64397,2.99162,1.99257,0.41179,0.10496,0.05377,0.01751,2.03344,3.4989,2.39394,0.00988862,0.00988862,0.00988862
11,127.32,1.64568,2.98649,1.99447,0.05086,0.09014,0.03794,0.01249,2.18025,3.53195,2.42379,0.00987625,0.00987625,0.00987625
12,138.967,1.63768,3.00536,1.97531,0.06678,0.09453,0.03473,0.01129,2.21838,3.83477,2.52992,0.00986387,0.00986387,0.00986387
13,150.424,1.60779,2.93088,1.97126,0.39306,0.14287,0.06504,0.02037,2.04272,3.76903,2.38545,0.0098515,0.0098515,0.0098515
14,161.784,1.6294,2.91132,1.98068,0.09398,0.1485,0.0811,0.0277,1.96943,3.14211,2.3191,0.00983913,0.00983913,0.00983913
15,173.174,1.59956,2.91374,1.97031,0.22762,0.12384,0.06589,0.02172,1.97895,3.14226,2.37842,0.00982675,0.00982675,0.00982675
16,184.629,1.57845,2.86962,1.95246,0.14098,0.14164,0.08519,0.03696,2.10464,3.14108,2.44058,0.00981438,0.00981438,0.00981438
17,196.163,1.56059,2.8356,1.94187,0.41931,0.16756,0.10088,0.03865,1.99459,3.09367,2.38403,0.009802,0.009802,0.009802
18,207.768,1.58745,2.85708,1.98804,0.11891,0.15361,0.0845,0.02559,2.00934,3.03548,2.37679,0.00978962,0.00978962,0.00978962
19,219.247,1.57818,2.84694,1.94481,0.18712,0.19421,0.1182,0.04358,1.86945,2.90433,2.27287,0.00977725,0.00977725,0.00977725
