epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5561,2.02753,3.6971,2.26656,0.0042,0.7561,0.01292,0.00351,2.23294,3.41849,2.66226,0.00328205,0.00328205,0.00328205
2,28.4276,1.84421,3.56969,2.09289,0.00374,0.63462,0.01897,0.00567,2.64385,3.35483,2.80028,0.00661211,0.00661211,0.00661211
3,39.9061,1.88478,3.42945,2.12536,0.41586,0.03113,0.02486,0.00778,2.70937,3.37707,3.12322,0.00993887,0.00993887,0.00993887
4,51.283,1.89376,3.37332,2.15947,0.34408,0.05855,0.00964,0.00293,2.60534,4.24181,3.03794,0.00998515,0.00998515,0.00998515
5,62.8095,1.89252,3.33704,2.14381,0.01003,0.2261,0.01757,0.00615,2.2982,3.67679,2.69365,0.0099802,0.0099802,0.0099802
6,74.4108,1.86526,3.24632,2.12699,0.00479,0.75181,0.04193,0.01072,2.30997,3.65884,2.7167,0.00997525,0.00997525,0.00997525
7,86.0709,1.83728,3.25417,2.10596,0.38544,0.07834,0.03257,0.0094,2.29416,3.47039,2.76527,0.0099703,0.0099703,0.0099703
8,97.8609,1.81163,3.22366,2.08801,0.4015,0.05765,0.03618,0.01418,2.19696,3.65857,2.68362,0.00996535,0.00996535,0.00996535
9,109.816,1.80361,3.22626,2.08649,0.00478,0.73559,0.04406,0.01137,2.2587,3.53004,2.66817,0.0099604,0.0099604,0.0099604
10,121.625,1.81703,3.22583,2.09359,0.03457,0.32022,0.04157,0.01655,2.23959,3.43736,2.66048,0.00995545,0.00995545,0.00995545
11,134.35,1.75359,3.17575,2.05024,0.01931,0.36254,0.02915,0.01017,2.11313,3.44349,2.58322,0.0099505,0.0099505,0.0099505
12,146.746,1.77743,3.1943,2.07412,0.00466,0.74005,0.03622,0.01344,2.03421,3.47985,2.60298,0.00994555,0.00994555,0.00994555
13,158.912,1.74196,3.16472,2.06824,0.01904,0.43642,0.03944,0.01334,2.13143,3.4203,2.56773,0.0099406,0.0099406,0.0099406
14,170.946,1.7025,3.1411,2.02668,0.01219,0.52206,0.02915,0.00976,2.15844,3.41434,2.52857,0.00993565,0.00993565,0.00993565
15,183.171,1.71524,3.16885,2.053,0.01553,0.50237,0.03507,0.01191,2.18487,3.42311,2.57302,0.0099307,0.0099307,0.0099307
16,195.457,1.71519,3.14311,2.05046,0.01764,0.38945,0.03221,0.01107,2.10349,3.50261,2.52771,0.00992575,0.00992575,0.00992575
17,207.698,1.7126,3.15013,2.04639,0.36978,0.05098,0.02976,0.00968,2.14964,3.39829,2.51549,0.0099208,0.0099208,0.0099208
18,220.005,1.70332,3.15011,2.04554,0.03237,0.39391,0.03429,0.01236,2.06741,3.39406,2.47142,0.00991585,0.00991585,0.00991585
